turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
1,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,1,1.0,author_1,-0.08685327243531105,0.13652581389200497
2,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,2,1.0,author_2,-0.1580220049932202,0.1110852691818425
3,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,3,2.0,author_1,0.0014683316108421683,0.11768811513511146
4,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,4,2.0,author_2,-0.03662967207051468,0.022465415418585186
5,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,5,3.0,author_1,0.05146546554913774,0.14906984830783052
6,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,6,3.0,author_2,-0.002153006086345336,0.12991376865794826
7,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,7,4.0,author_1,-0.0675391116697131,0.035317118778333434
8,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,8,4.0,author_2,-0.17639848584782972,0.1221206245759944
9,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,9,5.0,author_1,-0.0776911589918991,0.23820134437719814
10,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,10,5.0,author_2,0.043024074534168226,0.14982489315536268
11,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,11,6.0,author_1,0.20528629100964818,0.11413225987750254
12,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,12,6.0,author_2,0.10928700268310648,0.12215086190700952
13,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,13,7.0,author_1,0.19143099432992647,0.07457679997742529
14,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,14,7.0,author_2,-0.1795110784072511,-0.12842880696868741
15,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,15,8.0,author_1,0.0640442484381263,0.032651147388483404
16,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,16,8.0,author_2,0.04642117961509881,0.09377548873253556
17,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,17,9.0,author_1,0.09634152547081684,0.09830128826813883
18,AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,18,9.0,author_2,0.034486659314613886,0.10075157800092274
19,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,1,1.0,author_2,-0.04499217863468122,0.06106616645498167
20,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,2,1.0,author_1,-0.18968424682939272,-0.007992307443991261
21,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,3,2.0,author_2,-0.06079678724747759,0.08304941227771151
22,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,4,2.0,author_1,-0.11927128383251445,0.051995659861211185
24,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,6,3.0,author_1,0.07297969294728063,0.13235064662320215
25,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,7,4.0,author_2,-0.0714962297978495,0.18329102145663229
26,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,8,4.0,author_1,0.003448293100006364,0.1295833274591281
27,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,9,5.0,author_2,0.05394996286821084,0.19359622833640033
28,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,10,5.0,author_1,0.08702800919067806,0.053268308571145
29,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,11,6.0,author_2,0.13565354941842211,-0.06823713964963779
30,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,12,6.0,author_1,0.15689863535381185,-0.0066339581286436414
31,AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,13,7.0,author_2,0.07868790031252902,0.12217289573559248
