conversation_id,n_rows,n_text_qc_flagged,starter,respondent_id,source_conversation_id,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_006cb479-ccd3-40d1-83fb-4b614573f636,9,0,author_1,A89X12UN9Y1T,conv_006cb479-ccd3-40d1-83fb-4b614573f636,human-ai,False,False
conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,9,0,author_1,6TPD1ZJ84YUA,conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,human-ai,False,False
conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,9,0,author_2,4MY88EZZ8LCW,conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,human-ai,False,False
conv_0bb56093-3033-4615-bb70-ebfa4135589a,9,0,author_1,VHE1FW23AMCW,conv_0bb56093-3033-4615-bb70-ebfa4135589a,human-ai,False,False
conv_0f18b30f-7d4b-4681-b98e-a0ff4f2b5256,9,0,author_1,HY53S2L3H43F,conv_0f18b30f-7d4b-4681-b98e-a0ff4f2b5256,human-ai,False,False
conv_11293fd2-d757-471f-8e2e-783542167a8e,9,0,author_1,L9SW1MM65H9W,conv_11293fd2-d757-471f-8e2e-783542167a8e,human-ai,False,False
conv_155f7493-3058-435d-a672-40e7e8ec213a,9,0,author_1,PZ3AEZTPEDC9,conv_155f7493-3058-435d-a672-40e7e8ec213a,human-ai,False,False
conv_18ba473d-8913-4785-95cf-9a5400887bb9,9,0,author_2,P9R135S69C9E,conv_18ba473d-8913-4785-95cf-9a5400887bb9,human-ai,False,False
conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070,9,0,author_1,NVTM94R9HM9T,conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070,human-ai,False,False
conv_193bbf9f-e759-475a-ae86-76613053567a,9,0,author_2,XNDYR3MGJZ3E,conv_193bbf9f-e759-475a-ae86-76613053567a,human-ai,False,False
conv_1a776856-1876-44eb-b0f6-31b31250ddca,9,0,author_1,F2NA3TTJNG9S,conv_1a776856-1876-44eb-b0f6-31b31250ddca,human-ai,False,False
conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d,9,0,author_2,MNGK8F5R9H3X,conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d,human-ai,False,False
conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8,9,0,author_1,7YRXJCKYHT9X,conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8,human-ai,False,False
conv_23ed55f8-cc91-439f-8c8e-e24f66457596,9,0,author_1,PTD9FW2YEPSS,conv_23ed55f8-cc91-439f-8c8e-e24f66457596,human-ai,False,False
conv_29031421-8265-472f-b4ce-f147dd80edca,9,0,author_1,YR33XNKD3U3F,conv_29031421-8265-472f-b4ce-f147dd80edca,human-ai,False,False
conv_2ce635fa-cb6c-424f-9565-859a944eed92,9,0,author_1,YKUP9C4DG2JA,conv_2ce635fa-cb6c-424f-9565-859a944eed92,human-ai,False,False
conv_2f306db5-d066-4651-b17c-762d7f601570,9,0,author_2,7ZXDMRKQKM1S,conv_2f306db5-d066-4651-b17c-762d7f601570,human-ai,False,False
conv_328804bd-df9e-47da-ad43-e4da646b9ceb,9,0,author_2,YQ6Y38ZT6899,conv_328804bd-df9e-47da-ad43-e4da646b9ceb,human-ai,False,False
conv_33502e38-922d-4e7d-a252-ab236947c3d2,9,0,author_1,J3D2HV9QT49W,conv_33502e38-922d-4e7d-a252-ab236947c3d2,human-ai,False,False
conv_396737da-f9a2-4564-9edf-3712ef73724d,9,0,author_2,FD7RVGMZ6EC9,conv_396737da-f9a2-4564-9edf-3712ef73724d,human-ai,False,False
conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3,9,0,author_1,ZCS6ZRAYGKLS,conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3,human-ai,False,False
conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6,9,0,author_1,UW3MRK9MQD3A,conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6,human-ai,False,False
conv_3c5b888e-d991-4bce-adad-5584923b75b5,9,0,author_1,UYWE85JKQD9A,conv_3c5b888e-d991-4bce-adad-5584923b75b5,human-ai,False,False
conv_40197f84-33aa-433b-93b1-045691051ebc,9,0,author_2,N7AD4L8LSZ9F,conv_40197f84-33aa-433b-93b1-045691051ebc,human-ai,False,False
conv_41180468-5036-4f69-af66-b7465bcb7316,9,0,author_1,41PZCVUQDUJW,conv_41180468-5036-4f69-af66-b7465bcb7316,human-ai,False,False
conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,9,0,author_1,72V1DMKHJH3S,conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,human-ai,False,False
conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,9,0,author_2,X4GG8UHUX43E,conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,human-ai,False,False
conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,9,0,author_2,VCFLW1LTNE9F,conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,human-ai,False,False
conv_47df141a-738b-422a-8ad6-f222255c695e,9,0,author_1,G2USQC2U5JUT,conv_47df141a-738b-422a-8ad6-f222255c695e,human-ai,False,False
conv_491b62e9-789d-4b72-b887-557f2ccffc18,9,0,author_1,LTYMATDG56SX,conv_491b62e9-789d-4b72-b887-557f2ccffc18,human-ai,False,False
conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,9,0,author_2,8U6NL5N59U1T,conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,human-ai,False,False
conv_4aa46faf-273a-4707-be30-a0b216440d87,9,0,author_2,XLWUDV3DD49W,conv_4aa46faf-273a-4707-be30-a0b216440d87,human-ai,False,False
conv_4d1bd73a-bbc9-4e37-8ba0-3cdd7adbc66a,9,0,author_1,QHKVF5L9EG9T,conv_4d1bd73a-bbc9-4e37-8ba0-3cdd7adbc66a,human-ai,False,False
conv_58838068-7cd4-4f6c-b158-aabb542ab4b9,9,0,author_2,RVL33NS9GG1W,conv_58838068-7cd4-4f6c-b158-aabb542ab4b9,human-ai,False,False
conv_58c2f2e6-db2a-406d-9bc9-04aaf1b0c35a,9,0,author_2,PQ27Z9USX41W,conv_58c2f2e6-db2a-406d-9bc9-04aaf1b0c35a,human-ai,False,False
conv_5b956e03-a900-47aa-88a9-54cb6be40071,9,0,author_1,ZCS6G9J1WJSX,conv_5b956e03-a900-47aa-88a9-54cb6be40071,human-ai,False,False
conv_5e234f25-eb78-4ec3-8113-c66645149ddc,9,0,author_1,LS254PP1TGCS,conv_5e234f25-eb78-4ec3-8113-c66645149ddc,human-ai,False,False
conv_5f17f002-84ad-4315-8c69-20ec83de1223,9,0,author_1,XMPVNW4HGJL9,conv_5f17f002-84ad-4315-8c69-20ec83de1223,human-ai,False,False
conv_61dd4f08-b460-4c98-8368-fb09762cbe5e,9,0,author_2,APZLLLSGSH9W,conv_61dd4f08-b460-4c98-8368-fb09762cbe5e,human-ai,False,False
conv_62a271e6-a272-4e74-9d10-2dc0c15c530f,9,0,author_1,2M5L4UURHQCF,conv_62a271e6-a272-4e74-9d10-2dc0c15c530f,human-ai,False,False
conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74,9,0,author_2,WJQ1RGFQUV9F,conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74,human-ai,False,False
conv_6419c979-eb60-46a6-8770-2c3a25c7e2b3,9,0,author_2,3KZTSTNK9Y9X,conv_6419c979-eb60-46a6-8770-2c3a25c7e2b3,human-ai,False,False
conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b,9,0,author_2,3A3QJRUWNX1A,conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b,human-ai,False,False
conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d,9,0,author_2,T3CVRA6LWS1T,conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d,human-ai,False,False
conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178,9,0,author_1,N2DS5WVF4X9T,conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178,human-ai,False,False
