conversation_id,condition,turn,analysis_turn,complete_exchange,starter_side,starter_type,speaker_slot,speaker_type,speaker_is_starter,partner_type,text
188SQKM20FYzYRFIJ08U,human-human,1,1,True,author_1,human,author_1,human,True,human,"The great feast in Aarhus. Everybody had gathered down at Le Coq for ""Mad og Fad"" where people get a beer and a plate of food. Everybody was so excited for what was"
188SQKM20FYzYRFIJ08U,human-human,1,1,True,author_1,human,author_2,human,False,human,going to be a long evening with lost of miscellaneous activities. Everyone met up at exactly 18 o'clock and greeted everyone happy to celebrate the start of the
188SQKM20FYzYRFIJ08U,human-human,2,2,True,author_1,human,author_1,human,True,human,"Feast. Some people showed up hammered already and the rest were in the process of getting there with ""Chartreuse on ice,"" a delicious trademark of Le Coq. Then Simon stood up."
188SQKM20FYzYRFIJ08U,human-human,2,2,True,author_1,human,author_2,human,False,human,to announce his drop-out from university and that he was going to travel to every single country in the next year. Everybody was surprised but very excited for him. They cheered
188SQKM20FYzYRFIJ08U,human-human,3,3,True,author_1,human,author_1,human,True,human,"He then also told them that he was gonna do so in an 18 ft. People were shocked. He was in for a ride. Or as some would say, ""the time of his life."""
188SQKM20FYzYRFIJ08U,human-human,3,3,True,author_1,human,author_2,human,False,human,"his life"". They were actually all almost at the end of their studies and started planning trips according to his travel route"
188SQKM20FYzYRFIJ08U,human-human,4,4,True,author_1,human,author_1,human,True,human,"People loved the idea of sailing, and in a matter of hours, one of his friends had also bought a boat from DBA which he was going to follow him along in. And more friends joined. They had"
188SQKM20FYzYRFIJ08U,human-human,4,4,True,author_1,human,author_2,human,False,human,"actually planned out all of their next year in a matter of minutes, maybe with a little bit of alcoholic fuel but the plan is standing. Next they will be meeting to draw the route on"
188SQKM20FYzYRFIJ08U,human-human,5,5,True,author_1,human,author_1,human,True,human,"One was saying ""Greenland! We need to save them!"". Another yelled out ""Cuba! I want cheap cigars!"". Another ""Russia! I want vodka!"". But then Anne"
188SQKM20FYzYRFIJ08U,human-human,5,5,True,author_1,human,author_2,human,False,human,"fell down head first from the table after dancing ecstatically and losing the balance after twirling 20 times at once. No one was able to catch her, so she landed on the wooden floor"
188SQKM20FYzYRFIJ08U,human-human,6,6,True,author_1,human,author_1,human,True,human,"Luckily, nothing happened to her, so that party kept going. The room was electric, and people were throwing dance moves that were unknown to mankind, almost."
188SQKM20FYzYRFIJ08U,human-human,6,6,True,author_1,human,author_2,human,False,human,"taking off through the ceilig. After a couple of hours of dancing, they left the party and started heading towards the harbour to continue their"
188SQKM20FYzYRFIJ08U,human-human,7,7,True,author_1,human,author_1,human,True,human,"Adventure. But it was totally dark and people were not walking straight anymore. They heard a horn from the waterside. ""WHAT WAS THAT?"""
188SQKM20FYzYRFIJ08U,human-human,7,7,True,author_1,human,author_2,human,False,human,"It was coming closer and closer and somehow didn't seem to get any slower. ""OH NO"", they didn't realize they had walked onto a poorly"
188SQKM20FYzYRFIJ08U,human-human,8,8,True,author_1,human,author_1,human,True,human,Constructed bridge. So they decided to find a boat to jump on. They found a small canoe and all of a sudden all 10 of them were sitting on it.
188SQKM20FYzYRFIJ08U,human-human,8,8,True,author_1,human,author_2,human,False,human,"a single one. Some balancing on the tip, others on the back and the rest sqeezed into the middle protion. They stayed there for the"
188SQKM20FYzYRFIJ08U,human-human,9,9,True,author_1,human,author_1,human,True,human,Entire night. They paddled and paddled and all of a sudden they had reached Sweden. A long-time dream for Simon had now
188SQKM20FYzYRFIJ08U,human-human,9,9,True,author_1,human,author_2,human,False,human,come true. They all decided to watch the surise there and then go to the supermarket to buy SMASH for breakfast. After they planned on
188SQKM20FYzYRFIJ08U,human-human,10,10,True,author_1,human,author_1,human,True,human,"Catching a shark. They threw out their fishing lines and sat there waiting. They waited and waited, but nothing happened. But they had already planned how they would cook it."
188SQKM20FYzYRFIJ08U,human-human,10,10,True,author_1,human,author_2,human,False,human,"it and marinate it in Jägermeister. Since they couldn't get one until the very late evening, they bopught one at the fish market and fried it on the motor of the ship on the"
599Km2RY5nTNKI7vG2Wb,human-human,1,1,True,author_1,human,author_1,human,True,human,"One day, two young researchers entered a classroom full of students and asked them to participate in"
599Km2RY5nTNKI7vG2Wb,human-human,1,1,True,author_1,human,author_2,human,False,human,"a push-up competion to find out, if there is a correlation between how strong people from different studies are. There was a slight twist to this since the participants were also"
599Km2RY5nTNKI7vG2Wb,human-human,2,2,True,author_1,human,author_1,human,True,human,"Ask to recite the IPA while doing push-ups. The researchers had a hypothesis going into the study. Though the students knew their IPA,"
599Km2RY5nTNKI7vG2Wb,human-human,2,2,True,author_1,human,author_2,human,False,human,the strength of their mental state might not be enough to transfer into raw push-up strenght. The math students had to solve complex equations while sweat was dripping from
599Km2RY5nTNKI7vG2Wb,human-human,3,3,True,author_1,human,author_1,human,True,human,"Their palms. The students, eager to beat the people from maths, jumped from their seats and began their attempt at push-ups. It"
599Km2RY5nTNKI7vG2Wb,human-human,3,3,True,author_1,human,author_2,human,False,human,"was easy at first. The two young researchers counted out loud, setting the mood. ONE, TWO.. everyone was good until five.. the music did not help at all."
599Km2RY5nTNKI7vG2Wb,human-human,4,4,True,author_1,human,author_1,human,True,human,It was so loud that it was almost impossible to hear if the students recited the IPA correctly or not. The researchers
599Km2RY5nTNKI7vG2Wb,human-human,4,4,True,author_1,human,author_2,human,False,human,"seem to have a thing for Justin Bieber. It was a battle bewteen the reciting of the IPA-chart and ""Baby baby baby, uuuuuh"". The first people dropped after 6-7 pushups, the"
599Km2RY5nTNKI7vG2Wb,human-human,5,5,True,author_1,human,author_1,human,True,human,Rest kept at it and gave it their all. At 20 only two students remained. The rest of the students stood around.
