conversation_id,n_rows,n_text_qc_flagged,starter,respondent_id_u1,respondent_id_u2,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
188SQKM20FYzYRFIJ08U,10,0,author_1,W5HM3L1Y97J9,,human-human,False,False
1jhKtdiCFYhLl4Itr0tM,10,0,author_1,7D2RC89HCRSX,88AQ341U1QUA,human-human,False,False
599Km2RY5nTNKI7vG2Wb,10,0,author_1,N19A2KDM98SS,DH9A4N4R13JA,human-human,False,False
6Jv806AoPWPYePMobUvx,10,0,author_1,9UKS1CRFYQJ9,YMF9CDXTYLJT,human-human,False,False
7wPRj5Wbc26nlx60LUT5,10,0,author_1,KL433MCCC7SA,,human-human,False,False
9MYVXy4Nms9gfR1DI7NA,10,0,author_1,GJVUWMJ7GQJX,EN81DRSM7MSW,human-human,False,False
BocRhyGX0eWpgbUSkjWF,10,0,author_1,1N8M379G97LT,X18R173C33SW,human-human,False,False
D8kJXS3suDI2tltssVgN,10,0,author_1,V4YV72MY1LLS,AMS4T6KGC8UA,human-human,False,False
EVPkCWSrT9SwL38W9Zuk,10,0,author_1,PTFT3GX9Q8SW,JE379UZ9Q7SE,human-human,False,False
FTAeksA8Y0QOBPW6kxWX,10,0,author_1,X1494KA437SW,6FD9A54314SW,human-human,False,False
INnauEosv25woOCrBRDi,10,0,author_1,E7C7ALV5V8JS,EHER4RTKKQUF,human-human,False,False
JFI8cNwhGfRT2Jd6JUd0,10,0,author_1,EAVQWQV1V4SF,2WEUQLV1KQUW,human-human,False,False
JYZ6dAbVtTCZL8fZXM8s,10,0,author_1,E4V9CZXEQQLX,XQVF1VZ9W7SE,human-human,False,False
K6nustVFF5ei8GiBLmiZ,10,0,author_1,ZK863CU72CUW,CMFJ9VL72ZUF,human-human,False,False
NSZE9lXnuxIl0ZT4gRoy,10,0,author_1,ZEKT3ZZTQQUX,MGHXCZPEWMJX,human-human,False,False
OdyHy12i4PsBZkM4jjdC,10,0,author_1,PY24CQ3H3LJA,3U2L1L1D1QL9,human-human,False,False
P1SZ3AZnoi1oqt5EbYh5,10,0,author_1,D3M89QCD9RJA,H2FM139Z38SX,human-human,False,False
Pzb5I6nhg196AWLpukmz,10,0,author_1,23AKCYL74GSW,,human-human,False,False
Q00og6uDZIOED7dIIX0s,10,2,author_1,AYF8NNKY9LJE,C14ZNKTZ9LJT,human-human,False,True
RGwAQvKrGEfTj8ym6lju,10,0,author_1,GEVL939GC7UW,YATM1RCC14SA,human-human,False,False
Tf1TksJV6vLRqvWrSi52,10,0,author_1,LQTR3RCZ3LUF,N4F4CL3V38UF,human-human,False,False
ULRAMZF7ra0i53A9w3Gv,10,0,author_1,41FX25A3C8J9,X26X2NDR1QUW,human-human,False,False
WXfjYvL0j5iHL8rllFn1,10,0,author_1,N7EAQKMC94LX,C1YXA6MC13JW,human-human,False,False
WYnhagFwtR0bJ9vucGsm,10,0,author_1,XTZF1UP9N8SX,YYZE1DPXWRUE,human-human,False,False
YprMqddWHK39musGQ4si,10,0,author_1,FZPCS1TCCMLT,Y4NHG1KG38JT,human-human,False,False
bF3wySQHXxUL66FkpR9w,10,0,author_1,5A47C3YQEQSX,LFZQE8YR5MJF,human-human,False,False
cUrf0q4FWuzVfOPnH1a7,10,0,author_1,11DNKLA35RS9,KFH1MR487QSX,human-human,False,False
fIf2ccAs4ZpVTP7BBoxp,10,0,author_1,EZF2HW27EQUE,1LDFE72454JT,human-human,False,False
fcEeCffFk5SmTIeQXKQN,10,0,author_1,U1DR181H3RSX,APT43Q1G33L9,human-human,False,False
h9mEvTqoZyrUb6cj1fxu,10,0,author_1,M8V21UUMADLW,Y1F6CGLL2YST,human-human,False,False
hPlwWqqkemjjNa4Ny4nr,10,0,author_1,VYV8C31HC4S9,VFKQ97CVCMUE,human-human,False,False
noaceHjzkirRMoHnkT4V,10,0,author_1,PDZUU6VH9LJS,GKNZLPKZ34ST,human-human,False,False
qVjn3NBZDrc5qwoYuKfa,10,0,author_1,G33Z1QCU1QJW,TGCZC33ZC7J9,human-human,False,False
r47jfYG4ULZMEexvVeqs,10,0,author_1,FAD2KUGGJ4LX,Y8KAKY7CLLLS,human-human,False,False
uSUBQk0ZgGhDzjY8qQwb,10,0,author_1,CS6X1ZRSN4J9,12893VREYQL9,human-human,False,False
vtVEZIgMKoEkI6hoyJnd,10,0,author_1,GMPKA1AQ1MUW,G5394KAM1QSX,human-human,False,False
xmFgQW5bh6PcMW6uXdYJ,10,0,author_1,PSM23ZUQDUJW,5GKN1VU42YJS,human-human,False,False
