s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;;;;;;5;5;4;;;;;2;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0
;;;;;;4;6;8;;4;5;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;5;7;;4;4;;1;;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;8;5;Samskrivningen tog meget længere tid end 20 min;;;;2;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0
;;;;;;6;8;8;;5;7;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;7;7;;7;8;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;7;7;;6;8;;2;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;6;7;;4;6;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;7;8;;7;7;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;8;8;;6;7;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;5;7;;8;7;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;5;8;;5;7;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;4;7;;7;4;Følelse af ejerskab, fordi jeg startede historien og besluttede, hvad den skulle handle om;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;4;5;;5;6;;1;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;3;3;i think it was a bot lol;7;3;not many new ideas introduced by the co writer. sounded less like creative writing, more like predictive text;1;;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;7;it was fun;7;7;both contributed;2;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;8;7;;5;5;;3;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;7;8;;5;8;;1;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;7;7;;6;7;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;7;8;very funny;5;5;nej;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;7;7;;5;7;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;4;8;;6;5;;1;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;3;4;;4;4;;3;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;6;5;;4;6;;2;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;7;8;;6;7;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;7;8;;5;7;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;6;8;;5;8;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;1;1;8;love this guy;4;3;;2;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;3;7;We couldnt set up eachother correclty. The chat would cut up the set up;4;5;;1;;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;8;7;;6;8;;2;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;8;8;;5;7;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;8;8;Sjovt:);5;8;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;4;3;It matters who you write with;5;3;On writer will be dominant over thee outcome of the story, or otherwise the story will be fragmented;1;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;1;3;3;difficult to make something up when what I imagined was removed by the sentence and taken in a different direction. probably good for the story, but I'm not a story writer so;6;8;;2;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;7;8;It was very fun to have to react to what the other person wrote - and very surprising. It really changed where i thought the story was going!;7;6;I can't of course take full credit but i do feel a sort of co-ownership;1;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;4;8;Det var meget sjovt og udfordrende.;6;8;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;8;8;Hell yeah;6;8;fun fun fun;1;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;6;7;Man blev smidt ud af historien før den var færdig, så det var lidt utilfredsstillende ikke at kunne runde den af eller se slutningen. Det ville give mening at gøre eksperimentet kortere.;5;6;Ti ture hver var lige i overkanten.;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;8;8;;5;8;;2;;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
